adresse,postnummer,by,pris,type,kvm,vaerelser,byggeaar,energimaerke,liggetid,afstand_m,afstand_vindm_m,afstand_sol_m,lat,lng,url
Strandvejen 38,4654,Faxe Ladeplads,4995000,Villa/Parcelhus,210,4.0,2013,I,350,30.5,3384.0,4831.0,55.21104,12.15444,https://www.boliga.dk/adresse/strandvejen-38-4654-faxe-ladeplads-1233948250
"Kystvejen 10B, Saksild Str",8300,Odder,7295000,Fritidshus,71,3.0,1927,-,99,30.7,3848.0,4204.0,55.98181,10.2519,https://www.boliga.dk/adresse/kystvejen-10b-8300-odder-1972134294
Karlby Strandvej 6,8500,Grenaa,3145000,Fritidshus,152,5.0,1912,D,104,31.1,1504.0,6135.0,56.48759,10.87605,https://www.boliga.dk/adresse/karlby-strandvej-6-8500-grenaa-1570102769
Havnegade 8,5600,Faaborg,3495000,Fritidshus,168,6.0,1890,C,49,31.1,7482.0,10538.0,55.095,10.24033,https://www.boliga.dk/adresse/havnegade-8-5600-faaborg-1040523798
Fjordvej 30,7900,Nykøbing M,7495000,Fritidshus,328,9.0,1947,B,413,31.2,2443.0,2322.0,56.80322,8.87608,https://www.boliga.dk/adresse/fjordvej-30-7900-nykoebing-m-1424209157
Gl Strandvej 13,5500,Middelfart,9650000,Villa/Parcelhus,174,4.0,1907,c,25,31.2,3169.0,859.0,55.50973,9.75439,https://www.boliga.dk/adresse/gl-strandvej-13-5500-middelfart-206100027
Teglgårdsvej 94,5500,Middelfart,6995000,Villa/Parcelhus,158,6.0,1901,C,120,31.4,5459.0,967.0,55.49452,9.72019,https://www.boliga.dk/adresse/teglgaardsvej-94-5500-middelfart-400675204
Broholmvej 69B,4220,Korsør,4995000,Fritidshus,77,4.0,2003,-,54,31.4,1228.0,5225.0,55.38188,11.19913,https://www.boliga.dk/adresse/broholmvej-69b-4220-korsoer-1306745470
Havnevej 12,6320,Egernsund,395000,Helårsgrund,0,0.0,0,-,569,31.8,4768.0,1861.0,54.90739,9.60125,https://www.boliga.dk/adresse/havnevej-12-6320-egernsund-2091206929
Norvej 8,4220,Korsør,3995000,Fritidshus,152,5.0,1848,C,609,32.1,1154.0,1952.0,55.33177,11.1929,https://www.boliga.dk/adresse/norvej-8-4220-korsoer-359176130
"Fjordstræde 7, Doverodde",7760,Hurup Thy,3995000,Fritidshus,151,4.0,2014,K,468,32.3,1081.0,2941.0,56.71809,8.47033,https://www.boliga.dk/adresse/fjordstraede-7-7760-hurup-thy-97641108
